吉林电信,#genre#
江西都市,http://58.17.89.7:8081/hls/18/index.m3u8
江西影视,http://58.17.89.7:8081/hls/20/index.m3u8
江西新闻,http://58.17.89.7:8081/hls/23/index.m3u8
江西少儿,http://58.17.89.7:8081/hls/22/index.m3u8
江西经济,http://58.17.89.7:8081/hls/19/index.m3u8


河北经济,http://1.94.31.214/php/hebei.php?id=jjsh
河北农民,http://1.94.31.214/php/hebei.php?id=nmpd
河北都市,http://1.94.31.214/php/hebei.php?id=hbds
河北影视剧,http://1.94.31.214/php/hebei.php?id=hbys
河北少儿科技,http://1.94.31.214/php/hebei.php?id=sekj
河北公共,http://1.94.31.214/php/hebei.php?id=hbgg

西藏藏语,http://php.jdshipin.com:8880/xztv.php?id=zy
西藏影视,http://php.jdshipin.com:8880/xztv.php?id=ys

CHC影迷电影,http://5vn.cn:9003//hls/92/index.m3u8
CHC动作电影,http://5vn.cn:9003//hls/91/index.m3u8
CHC家庭影院,http://5vn.cn:9003//hls/93/index.m3u8









💓山东移动专用,#genre#
CCTV1 5M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV2 8M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
